idvisit,idvisitor,idaction_name,document,documenttime,documenttime_formatted,clone_name,search_cat,value,searchtime,searchtime_formatted,action,keyw_5,display_title_s,display_org_s,filename,display_source_s,crawler_used_s,doc_type,display_doc_type_s
41613,649A714086686CD4,4356,MIL-HDBK-1379_4 Base Document 1997-06-09.pdf,Mon Nov 14 2022 12:11:25 GMT+0000 (Coordinated Universal Time),2022-11-14 12:11:00, gamechanger,GAMECHANGER_gamechanger_combined,computer,Mon Nov 14 2022 12:11:17 GMT+0000 (Coordinated Universal Time),2022-11-14 12:11,Search,,MIL-HDBK-1379_4 Base Document 1997-06-09.pdf,,,,,,
41608,71339E3B3F85E3B4,12109,Title 39 - Postal Service.pdf,Mon Nov 14 2022 11:56:17 GMT+0000 (Coordinated Universal Time),2022-11-14 11:56:00, gamechanger,GAMECHANGER_gamechanger_combined,pdf 39,Mon Nov 14 2022 11:55:56 GMT+0000 (Coordinated Universal Time),2022-11-14 11:55,Search,postal service; effective date; united states; statutory notes; inspector general; franked mail; related subsidiaries; air carriers; postal services; post office,Title 39: Postal Service,United States Code,Title 39 - Postal Service.pdf,,,Title,Title
41608,71339E3B3F85E3B4,12109,Title 39 - Postal Service.pdf,Mon Nov 14 2022 11:56:16 GMT+0000 (Coordinated Universal Time),2022-11-14 11:56:00, gamechanger,GAMECHANGER_gamechanger_combined,pdf 39,Mon Nov 14 2022 11:55:56 GMT+0000 (Coordinated Universal Time),2022-11-14 11:55,Search,postal service; effective date; united states; statutory notes; inspector general; franked mail; related subsidiaries; air carriers; postal services; post office,Title 39: Postal Service,United States Code,Title 39 - Postal Service.pdf,,,Title,Title
41608,71339E3B3F85E3B4,12109,Title 18 - Crimes and Criminal Procedure.pdf,Mon Nov 14 2022 11:56:08 GMT+0000 (Coordinated Universal Time),2022-11-14 11:56:00, gamechanger,GAMECHANGER_gamechanger_combined,pdf 39,Mon Nov 14 2022 11:55:56 GMT+0000 (Coordinated Universal Time),2022-11-14 11:55,Search,united states; statutory notes; effective date; attorney general; postal service; law enforcement; financial institution; foreign government; added pub; sexual abuse,Title 18: Crimes and Criminal Procedure,United States Code,Title 18 - Crimes and Criminal Procedure.pdf,,,Title,Title
41594,71339E3B3F85E3B4,169,FASAB  Technical Release 1.pdf,Mon Nov 14 2022 11:00:09 GMT+0000 (Coordinated Universal Time),2022-11-14 11:00:00, gamechanger,GAMECHANGER_gamechanger_combined,a,Mon Nov 14 2022 10:54:55 GMT+0000 (Coordinated Universal Time),2022-11-14 10:54,Search,version 21; reporting deadlines; obtain evidence; legal department; federal government; federal entity; doj lawyer; auditing standards; audit inquiry; 06/22,FASAB  Technical Release 1: Audit Legal Representation Letter Guidance (PDF),FASAB,FASAB  Technical Release 1.pdf,,,FASAB  Technical Release,Document
41594,71339E3B3F85E3B4,169,FASAB Technical Bulletin 2002-2.pdf,Mon Nov 14 2022 10:59:53 GMT+0000 (Coordinated Universal Time),2022-11-14 10:59:00, gamechanger,GAMECHANGER_gamechanger_combined,a,Mon Nov 14 2022 10:54:55 GMT+0000 (Coordinated Universal Time),2022-11-14 10:54,Search,technical bulletin; version 21; reporting entity; financing sources; financial report; financial accounting; effective immediately; disclosures required; 06/22,FASAB Technical Bulletin 2002-2: Disclosures Required by Paragraph 79(g) of SFFAS 7 Accounting for Revenue and Other Financing Sources and Concepts for Reconciling Budgetary and Financial Accounting (PDF),FASAB,FASAB Technical Bulletin 2002-2.pdf,,,FASAB Technical Bulletin,Document
41594,71339E3B3F85E3B4,169,SFFAS 7.pdf,Mon Nov 14 2022 10:59:35 GMT+0000 (Coordinated Universal Time),2022-11-14 10:59:00, gamechanger,GAMECHANGER_gamechanger_combined,a,Mon Nov 14 2022 10:54:55 GMT+0000 (Coordinated Universal Time),2022-11-14 10:54,Search,direct loans; exchange revenue; net cost; financial accounting; federal government; trust funds; financing sources; financial statements; financial reporting; accounts receivable,SFFAS 7: Accounting for Revenue and Other Financing Sources and Concepts for Reconciling Budgetary and Financial Accounting (PDF),FASAB,SFFAS 7.pdf,,,SFFAS,Document
41594,71339E3B3F85E3B4,169,SFFAS 7.pdf,Mon Nov 14 2022 10:58:00 GMT+0000 (Coordinated Universal Time),2022-11-14 10:58:00, gamechanger,GAMECHANGER_gamechanger_combined,a,Mon Nov 14 2022 10:54:55 GMT+0000 (Coordinated Universal Time),2022-11-14 10:54,Search,direct loans; exchange revenue; net cost; financial accounting; federal government; trust funds; financing sources; financial statements; financial reporting; accounts receivable,SFFAS 7: Accounting for Revenue and Other Financing Sources and Concepts for Reconciling Budgetary and Financial Accounting (PDF),FASAB,SFFAS 7.pdf,,,SFFAS,Document
41594,71339E3B3F85E3B4,169,SFFAS 7.pdf,Mon Nov 14 2022 10:57:59 GMT+0000 (Coordinated Universal Time),2022-11-14 10:57:00, gamechanger,GAMECHANGER_gamechanger_combined,a,Mon Nov 14 2022 10:54:55 GMT+0000 (Coordinated Universal Time),2022-11-14 10:54,Search,direct loans; exchange revenue; net cost; financial accounting; federal government; trust funds; financing sources; financial statements; financial reporting; accounts receivable,SFFAS 7: Accounting for Revenue and Other Financing Sources and Concepts for Reconciling Budgetary and Financial Accounting (PDF),FASAB,SFFAS 7.pdf,,,SFFAS,Document
41581,71339E3B3F85E3B4,169,CFR-2006-title48-vol4.pdf,Sun Nov 13 2022 13:26:12 GMT+0000 (Coordinated Universal Time),2022-11-13 13:26:00, gamechanger,GAMECHANGER_gamechanger_combined,a,Sun Nov 13 2022 13:26:01 GMT+0000 (Coordinated Universal Time),2022-11-13 13:26,Search,,CFR-2006-title48-vol4.pdf,,,,,,
